Input Number, Run_Number, Result@ 100, Y, B, X1, A, C, PO, D, CO, PE, CE, E, F
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 0, 26, 28, 1, 0, 9, 0
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 0, 34, 20, 1, 2, 8, 0
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 0, 26, 29, 1, 0, 9, 1
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 0, 42, 13, 1, 2, 8, 1
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 0, 42, 13, 1, 0, 9, 1
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 0, 30, 25, 1, 2, 8, 1
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 0, 40, 15, 1, 2, 8, 1
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 2, 8, 0
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 0, 16, 38, 1, 0, 9, 0
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 0, 34, 21, 1, 0, 9, 1
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 0, 24, 30, 1, 2, 8, 0
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 0, 16, 38, 1, 2, 8, 0
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 0, 52, 2, 1, 0, 9, 0
INVAR-1, Run: 014, F, 0, 0, 0, 0, 0, 0, 32, 22, 1, 0, 9, 0
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 0, 32, 23, 1, 2, 8, 1
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 0, 48, 7, 1, 2, 8, 1
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 0, 52, 3, 1, 2, 8, 1
INVAR-1, Run: 018, F, 0, 0, 0, 0, 0, 0, 30, 25, 1, 2, 8, 1
INVAR-1, Run: 019, F, 0, 0, 0, 0, 0, 0, 36, 18, 1, 0, 9, 0
INVAR-1, Run: 020, F, 0, 0, 0, 0, 0, 0, 52, 3, 1, 2, 8, 1
INVAR-1, Run: 021, F, 0, 0, 0, 0, 0, 0, 32, 23, 1, 0, 9, 1
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0
INVAR-1, Run: 023, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0
INVAR-1, Run: 024, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0
INVAR-1, Run: 025, F, 0, 0, 0, 0, 0, 0, 28, 27, 1, 0, 9, 1
INVAR-1, Run: 026, F, 0, 0, 0, 0, 0, 0, 12, 42, 1, 0, 9, 0
INVAR-1, Run: 027, F, 0, 0, 0, 0, 0, 0, 44, 10, 1, 0, 9, 0
INVAR-1, Run: 028, F, 0, 0, 0, 0, 0, 0, 46, 9, 1, 2, 8, 1
INVAR-1, Run: 029, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0
INVAR-1, Run: 030, F, 0, 0, 0, 0, 0, 0, 50, 4, 1, 0, 9, 0
INVAR-1, Run: 031, F, 0, 0, 0, 0, 0, 0, 34, 20, 1, 0, 9, 0
INVAR-1, Run: 032, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 4, 7, 0
INVAR-1, Run: 033, F, 0, 0, 0, 0, 0, 0, 22, 33, 1, 0, 9, 1
INVAR-1, Run: 034, F, 0, 0, 0, 0, 0, 0, 54, 1, 1, 2, 8, 1
INVAR-1, Run: 035, F, 0, 0, 0, 0, 0, 0, 38, 16, 1, 0, 9, 0
INVAR-1, Run: 036, F, 0, 0, 0, 0, 0, 0, 32, 23, 1, 2, 8, 1
INVAR-1, Run: 037, F, 0, 0, 0, 0, 0, 0, 26, 28, 1, 0, 9, 0
INVAR-1, Run: 038, F, 0, 0, 0, 0, 0, 0, 48, 7, 1, 0, 9, 1
INVAR-1, Run: 039, F, 0, 0, 0, 0, 0, 0, 12, 43, 1, 0, 9, 1
INVAR-1, Run: 040, F, 0, 0, 0, 0, 0, 0, 52, 2, 1, 2, 8, 0
INVAR-1, Run: 041, F, 0, 0, 0, 0, 0, 0, 42, 13, 1, 2, 8, 1
INVAR-1, Run: 042, F, 0, 0, 0, 0, 0, 0, 22, 32, 1, 0, 9, 0
INVAR-1, Run: 043, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0
INVAR-1, Run: 044, F, 0, 0, 0, 0, 0, 0, 34, 21, 1, 0, 9, 1
INVAR-1, Run: 045, F, 0, 0, 0, 0, 0, 0, 48, 7, 1, 0, 9, 1
INVAR-1, Run: 046, F, 0, 0, 0, 0, 0, 0, 36, 19, 1, 2, 8, 1
INVAR-1, Run: 047, F, 0, 0, 0, 0, 0, 0, 26, 29, 1, 2, 8, 1
INVAR-1, Run: 048, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 2, 8, 0
INVAR-1, Run: 049, F, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1
INVAR-1, Run: 050, F, 0, 0, 0, 0, 0, 0, 10, 45, 1, 0, 9, 1
INVAR-1, Run: 051, F, 0, 0, 0, 0, 0, 0, 50, 4, 1, 0, 9, 0
INVAR-1, Run: 052, F, 0, 0, 0, 0, 0, 0, 34, 20, 1, 0, 9, 0
INVAR-1, Run: 053, F, 0, 0, 0, 0, 0, 0, 10, 45, 1, 0, 9, 1
INVAR-1, Run: 054, F, 0, 0, 0, 0, 0, 0, 52, 3, 1, 0, 9, 1
INVAR-1, Run: 055, F, 0, 0, 0, 0, 0, 0, 44, 11, 1, 2, 8, 1
INVAR-1, Run: 056, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0
INVAR-1, Run: 057, F, 0, 0, 0, 0, 0, 0, 52, 2, 1, 0, 9, 0
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0
INVAR-1, Run: 059, F, 0, 0, 0, 0, 0, 0, 6, 49, 1, 0, 9, 1
INVAR-1, Run: 060, F, 0, 0, 0, 0, 0, 0, 32, 22, 1, 0, 9, 0
INVAR-1, Run: 061, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0
INVAR-1, Run: 062, F, 0, 0, 0, 0, 0, 0, 38, 17, 1, 0, 9, 1
INVAR-1, Run: 063, F, 0, 0, 0, 0, 0, 0, 12, 43, 1, 0, 9, 1
INVAR-1, Run: 064, F, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1
INVAR-1, Run: 065, F, 0, 0, 0, 0, 0, 0, 36, 18, 1, 0, 9, 0
INVAR-1, Run: 066, F, 0, 0, 0, 0, 0, 0, 44, 11, 1, 0, 9, 1
INVAR-1, Run: 067, F, 0, 0, 0, 0, 0, 0, 26, 29, 1, 0, 9, 1
INVAR-1, Run: 068, F, 0, 0, 0, 0, 0, 0, 38, 16, 1, 0, 9, 0
INVAR-1, Run: 069, F, 0, 0, 0, 0, 0, 0, 32, 23, 1, 0, 9, 1
INVAR-1, Run: 070, F, 0, 0, 0, 0, 0, 0, 14, 40, 1, 2, 8, 0
INVAR-1, Run: 071, F, 0, 0, 0, 0, 0, 0, 44, 11, 1, 2, 8, 1
INVAR-1, Run: 072, F, 0, 0, 0, 0, 0, 0, 18, 37, 1, 0, 9, 1
INVAR-1, Run: 073, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 4, 7, 0
INVAR-1, Run: 074, F, 0, 0, 0, 0, 0, 0, 52, 3, 1, 2, 8, 1
INVAR-1, Run: 075, F, 0, 0, 0, 0, 0, 0, 40, 14, 1, 0, 9, 0
INVAR-1, Run: 076, F, 0, 0, 0, 0, 0, 0, 46, 9, 1, 2, 8, 1
INVAR-1, Run: 077, F, 0, 0, 0, 0, 0, 0, 24, 30, 1, 0, 9, 0
INVAR-1, Run: 078, F, 0, 0, 0, 0, 0, 0, 32, 22, 1, 0, 9, 0
INVAR-1, Run: 079, F, 0, 0, 0, 0, 0, 0, 28, 26, 1, 0, 9, 0
INVAR-1, Run: 080, F, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1
INVAR-1, Run: 081, F, 0, 0, 0, 0, 0, 0, 24, 30, 1, 0, 9, 0
INVAR-1, Run: 082, F, 0, 0, 0, 0, 0, 0, 32, 23, 1, 0, 9, 1
INVAR-1, Run: 083, F, 0, 0, 0, 0, 0, 0, 10, 44, 1, 0, 9, 0
INVAR-1, Run: 084, F, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1
INVAR-1, Run: 085, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0
INVAR-1, Run: 086, F, 0, 0, 0, 0, 0, 0, 44, 10, 1, 2, 8, 0
INVAR-1, Run: 087, F, 0, 0, 0, 0, 0, 0, 30, 24, 1, 0, 9, 0
INVAR-1, Run: 088, F, 0, 0, 0, 0, 0, 0, 30, 24, 1, 0, 9, 0
INVAR-1, Run: 089, F, 0, 0, 0, 0, 0, 0, 26, 29, 1, 0, 9, 1
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 0, 44, 11, 1, 0, 9, 1
INVAR-1, Run: 091, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0
INVAR-1, Run: 092, F, 0, 0, 0, 0, 0, 0, 50, 5, 1, 2, 8, 1
INVAR-1, Run: 093, F, 0, 0, 0, 0, 0, 0, 30, 24, 1, 0, 9, 0
INVAR-1, Run: 094, F, 0, 0, 0, 0, 0, 0, 44, 10, 1, 0, 9, 0
INVAR-1, Run: 095, F, 0, 0, 0, 0, 0, 0, 38, 17, 1, 0, 9, 1
INVAR-1, Run: 096, F, 0, 0, 0, 0, 0, 0, 38, 17, 1, 0, 9, 1
INVAR-1, Run: 097, F, 0, 0, 0, 0, 0, 0, 8, 47, 1, 0, 9, 1
INVAR-1, Run: 098, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0
INVAR-1, Run: 099, F, 0, 0, 0, 0, 0, 0, 34, 20, 1, 0, 9, 0
INVAR-1, Run: 100, F, 0, 0, 0, 0, 0, 0, 34, 20, 1, 0, 9, 0
INVAR-10, Run: 001, F, 0, 0, 0, 0, 0, 0, 440, 160, 1, 0, 100, 0
INVAR-10, Run: 002, F, 0, 0, 0, 0, 0, 0, 540, 61, 1, 0, 100, 1
