Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E
1, Run: 001, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 002, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2
1, Run: 003, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
1, Run: 004, F, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3
1, Run: 005, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
1, Run: 006, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2
1, Run: 007, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 008, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 009, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 010, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
1, Run: 011, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
1, Run: 012, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 013, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 014, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 015, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
1, Run: 016, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 017, F, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3
1, Run: 018, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 019, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 020, F, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0, 1
1, Run: 021, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 022, F, 0, 1, 0, 0, 0, 0, 54, 0, 0, 1, 0, 8
1, Run: 023, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 024, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 025, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 026, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 027, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 028, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 029, F, 0, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 2
1, Run: 030, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2
1, Run: 031, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 032, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 033, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7
1, Run: 034, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 035, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 036, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 037, F, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3
1, Run: 038, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 039, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 040, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 041, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 042, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 043, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 044, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 045, F, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0, 1
1, Run: 046, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2
1, Run: 047, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 048, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 049, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 050, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 051, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2
1, Run: 052, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
1, Run: 053, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
1, Run: 054, F, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5
1, Run: 055, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 056, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
1, Run: 057, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
1, Run: 058, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7
1, Run: 059, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2
1, Run: 060, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7
1, Run: 061, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7
1, Run: 062, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
1, Run: 063, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7
