Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, Y, PE, CE, CO, E, F
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 24, 30, 1, 0, 0, 9, 0
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 8, 48, 1, 2, 0, 8, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 6, 50, 1, 2, 0, 8, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 54, 1, 0, 0, 9, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 18, 36, 1, 0, 0, 9, 0
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 15, 39, 1, 0, 0, 9, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 16, 38, 1, 0, 0, 9, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 13, 41, 1, 0, 0, 9, 0
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 12, 44, 1, 2, 0, 8, 0
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 12, 42, 1, 0, 0, 9, 0
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 8, 46, 1, 0, 0, 9, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 13, 43, 1, 2, 0, 8, 0
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 1, 55, 1, 0, 0, 9, 2
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 12, 42, 1, 0, 0, 9, 0
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 13, 41, 1, 0, 0, 9, 0
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 18, 38, 1, 2, 0, 8, 0
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 12, 42, 1, 0, 0, 9, 0
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 18, 38, 1, 2, 0, 8, 0
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 6, 48, 1, 0, 0, 9, 0
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 12, 42, 1, 0, 0, 9, 0
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 40, 16, 1, 2, 0, 8, 0
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 14, 42, 1, 2, 0, 8, 0
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 20, 34, 1, 0, 0, 9, 0
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 14, 42, 1, 2, 0, 8, 0
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 13, 43, 1, 2, 0, 8, 0
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 11, 43, 1, 0, 0, 9, 0
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 15, 39, 1, 0, 0, 9, 0
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 8, 46, 1, 0, 0, 9, 0
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 19, 37, 1, 2, 0, 8, 0
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 3, 51, 1, 0, 0, 9, 0
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 4, 50, 1, 0, 0, 9, 0
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 4, 50, 1, 0, 0, 9, 0
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 6, 50, 1, 2, 0, 8, 0
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 2, 52, 1, 0, 0, 9, 0
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 21, 33, 1, 0, 0, 9, 0
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 54, 1, 0, 0, 9, 0
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 21, 35, 1, 2, 0, 8, 0
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 0, 54, 1, 0, 0, 9, 0
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 8, 48, 1, 2, 0, 8, 0
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 21, 33, 1, 0, 0, 9, 0
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 13, 41, 1, 0, 0, 9, 0
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 12, 42, 1, 0, 0, 9, 0
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 27, 27, 1, 0, 0, 9, 0
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 18, 36, 1, 0, 0, 9, 0
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 7, 49, 1, 2, 0, 8, 0
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 29, 25, 1, 0, 0, 9, 0
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 14, 40, 1, 0, 0, 9, 0
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 19, 35, 1, 0, 0, 9, 0
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 9, 47, 1, 2, 0, 8, 0
