Input Number, Run_Number, Result@ 100, Y, Z, X, NEW_REACTION, Reaction1
INVAR-1, Run: 001, F, 0, 8, 1, 15, 23
INVAR-1, Run: 002, F, 0, 8, 1, 15, 23
INVAR-1, Run: 003, F, 0, 4, 3, 17, 21
INVAR-1, Run: 004, F, 0, 6, 2, 16, 22
INVAR-1, Run: 005, F, 0, 6, 2, 16, 22
INVAR-1, Run: 006, F, 0, 4, 3, 17, 21
INVAR-1, Run: 007, F, 0, 6, 2, 16, 22
INVAR-1, Run: 008, F, 0, 4, 3, 17, 21
INVAR-1, Run: 009, F, 0, 8, 1, 15, 23
INVAR-1, Run: 010, F, 0, 4, 3, 17, 21
INVAR-1, Run: 011, F, 0, 6, 2, 16, 22
INVAR-1, Run: 012, F, 0, 4, 3, 17, 21
INVAR-1, Run: 013, F, 0, 4, 3, 17, 21
INVAR-1, Run: 014, F, 0, 8, 1, 15, 23
INVAR-1, Run: 015, F, 0, 4, 3, 17, 21
INVAR-1, Run: 016, F, 0, 8, 1, 15, 23
INVAR-1, Run: 017, F, 0, 8, 1, 15, 23
INVAR-1, Run: 018, F, 0, 6, 2, 16, 22
INVAR-1, Run: 019, F, 0, 6, 2, 16, 22
INVAR-1, Run: 020, F, 0, 6, 2, 16, 22
INVAR-1, Run: 021, F, 0, 6, 2, 16, 22
INVAR-1, Run: 022, F, 0, 6, 2, 16, 22
INVAR-1, Run: 023, F, 0, 8, 1, 15, 23
INVAR-1, Run: 024, F, 0, 6, 2, 16, 22
INVAR-1, Run: 025, F, 0, 8, 1, 15, 23
INVAR-1, Run: 026, F, 0, 10, 0, 14, 24
INVAR-1, Run: 027, F, 0, 6, 2, 16, 22
INVAR-1, Run: 028, F, 0, 4, 3, 17, 21
INVAR-1, Run: 029, F, 0, 6, 2, 16, 22
INVAR-1, Run: 030, F, 0, 8, 1, 15, 23
INVAR-1, Run: 031, F, 0, 6, 2, 16, 22
INVAR-1, Run: 032, F, 0, 8, 1, 15, 23
INVAR-1, Run: 033, F, 0, 4, 3, 17, 21
INVAR-1, Run: 034, F, 0, 6, 2, 16, 22
INVAR-1, Run: 035, F, 0, 4, 3, 17, 21
INVAR-1, Run: 036, F, 0, 6, 2, 16, 22
INVAR-1, Run: 037, F, 0, 4, 3, 17, 21
INVAR-1, Run: 038, F, 0, 4, 3, 17, 21
INVAR-1, Run: 039, F, 0, 4, 3, 17, 21
INVAR-1, Run: 040, F, 0, 8, 1, 15, 23
INVAR-1, Run: 041, F, 0, 6, 2, 16, 22
INVAR-1, Run: 042, F, 0, 10, 0, 14, 24
INVAR-1, Run: 043, F, 0, 4, 3, 17, 21
INVAR-1, Run: 044, F, 0, 8, 1, 15, 23
INVAR-1, Run: 045, F, 0, 6, 2, 16, 22
INVAR-1, Run: 046, F, 0, 6, 2, 16, 22
INVAR-1, Run: 047, F, 0, 4, 3, 17, 21
INVAR-1, Run: 048, F, 0, 4, 3, 17, 21
INVAR-1, Run: 049, F, 0, 8, 1, 15, 23
INVAR-1, Run: 050, F, 0, 6, 2, 16, 22
INVAR-1, Run: 051, F, 0, 4, 3, 17, 21
INVAR-1, Run: 052, F, 0, 6, 2, 16, 22
INVAR-1, Run: 053, F, 0, 6, 2, 16, 22
INVAR-1, Run: 054, F, 0, 4, 3, 17, 21
INVAR-1, Run: 055, F, 0, 8, 1, 15, 23
INVAR-1, Run: 056, F, 0, 4, 3, 17, 21
INVAR-1, Run: 057, F, 0, 4, 3, 17, 21
INVAR-1, Run: 058, F, 0, 6, 2, 16, 22
INVAR-1, Run: 059, F, 0, 6, 2, 16, 22
INVAR-1, Run: 060, F, 0, 6, 2, 16, 22
INVAR-1, Run: 061, F, 0, 4, 3, 17, 21
INVAR-1, Run: 062, F, 0, 4, 3, 17, 21
INVAR-1, Run: 063, F, 0, 6, 2, 16, 22
INVAR-1, Run: 064, F, 0, 6, 2, 16, 22
INVAR-1, Run: 065, F, 0, 8, 1, 15, 23
INVAR-1, Run: 066, F, 0, 8, 1, 15, 23
INVAR-1, Run: 067, F, 0, 8, 1, 15, 23
INVAR-1, Run: 068, F, 0, 4, 3, 17, 21
INVAR-1, Run: 069, F, 0, 6, 2, 16, 22
INVAR-1, Run: 070, F, 0, 6, 2, 16, 22
INVAR-1, Run: 071, F, 0, 6, 2, 16, 22
INVAR-1, Run: 072, F, 0, 4, 3, 17, 21
INVAR-1, Run: 073, F, 0, 6, 2, 16, 22
INVAR-1, Run: 074, F, 0, 6, 2, 16, 22
INVAR-1, Run: 075, F, 0, 4, 3, 17, 21
INVAR-1, Run: 076, F, 0, 6, 2, 16, 22
INVAR-1, Run: 077, F, 0, 6, 2, 16, 22
INVAR-1, Run: 078, F, 0, 4, 3, 17, 21
INVAR-1, Run: 079, F, 0, 8, 1, 15, 23
INVAR-1, Run: 080, F, 0, 8, 1, 15, 23
INVAR-1, Run: 081, F, 0, 2, 4, 18, 20
INVAR-1, Run: 082, F, 0, 8, 1, 15, 23
INVAR-1, Run: 083, F, 0, 4, 3, 17, 21
INVAR-1, Run: 084, F, 0, 4, 3, 17, 21
INVAR-1, Run: 085, F, 0, 6, 2, 16, 22
INVAR-1, Run: 086, F, 0, 6, 2, 16, 22
INVAR-1, Run: 087, F, 0, 6, 2, 16, 22
INVAR-1, Run: 088, F, 0, 6, 2, 16, 22
INVAR-1, Run: 089, F, 0, 6, 2, 16, 22
INVAR-1, Run: 090, F, 0, 6, 2, 16, 22
INVAR-1, Run: 091, F, 0, 8, 1, 15, 23
INVAR-1, Run: 092, F, 0, 6, 2, 16, 22
INVAR-1, Run: 093, F, 0, 2, 4, 18, 20
INVAR-1, Run: 094, F, 0, 2, 4, 18, 20
INVAR-1, Run: 095, F, 0, 4, 3, 17, 21
INVAR-1, Run: 096, F, 0, 8, 1, 15, 23
INVAR-1, Run: 097, F, 0, 6, 2, 16, 22
INVAR-1, Run: 098, F, 0, 8, 1, 15, 23
INVAR-1, Run: 099, F, 0, 4, 3, 17, 21
INVAR-1, Run: 100, F, 0, 6, 2, 16, 22
INVAR-10, Run: 001, F, 0, 16, 9, 17, 33
INVAR-10, Run: 002, F, 0, 10, 12, 20, 30
INVAR-10, Run: 003, F, 0, 18, 8, 16, 34
INVAR-10, Run: 004, F, 0, 16, 9, 17, 33
INVAR-10, Run: 005, F, 0, 16, 9, 17, 33
INVAR-10, Run: 006, F, 0, 18, 8, 16, 34
INVAR-10, Run: 007, F, 0, 16, 9, 17, 33
INVAR-10, Run: 008, F, 0, 18, 8, 16, 34
INVAR-10, Run: 009, F, 0, 16, 9, 17, 33
INVAR-10, Run: 010, F, 0, 18, 8, 16, 34
INVAR-10, Run: 011, F, 0, 16, 9, 17, 33
INVAR-10, Run: 012, F, 0, 12, 11, 19, 31
INVAR-10, Run: 013, F, 0, 12, 11, 19, 31
INVAR-10, Run: 014, F, 0, 12, 11, 19, 31
INVAR-10, Run: 015, F, 0, 16, 9, 17, 33
INVAR-10, Run: 016, F, 0, 12, 11, 19, 31
INVAR-10, Run: 017, F, 0, 16, 9, 17, 33
INVAR-10, Run: 018, F, 0, 12, 11, 19, 31
INVAR-10, Run: 019, F, 0, 16, 9, 17, 33
INVAR-10, Run: 020, F, 0, 12, 11, 19, 31
INVAR-10, Run: 021, F, 0, 14, 10, 18, 32
INVAR-10, Run: 022, F, 0, 16, 9, 17, 33
INVAR-10, Run: 023, F, 0, 14, 10, 18, 32
INVAR-10, Run: 024, F, 0, 16, 9, 17, 33
INVAR-10, Run: 025, F, 0, 18, 8, 16, 34
INVAR-10, Run: 026, F, 0, 16, 9, 17, 33
INVAR-10, Run: 027, F, 0, 12, 11, 19, 31
INVAR-10, Run: 028, F, 0, 14, 10, 18, 32
INVAR-10, Run: 029, F, 0, 16, 9, 17, 33
INVAR-10, Run: 030, F, 0, 12, 11, 19, 31
INVAR-10, Run: 031, F, 0, 14, 10, 18, 32
INVAR-10, Run: 032, F, 0, 20, 7, 15, 35
INVAR-10, Run: 033, F, 0, 18, 8, 16, 34
INVAR-10, Run: 034, F, 0, 12, 11, 19, 31
INVAR-10, Run: 035, F, 0, 10, 12, 20, 30
INVAR-10, Run: 036, F, 0, 18, 8, 16, 34
INVAR-10, Run: 037, F, 0, 14, 10, 18, 32
INVAR-10, Run: 038, F, 0, 14, 10, 18, 32
INVAR-10, Run: 039, F, 0, 12, 11, 19, 31
INVAR-10, Run: 040, F, 0, 14, 10, 18, 32
INVAR-10, Run: 041, F, 0, 20, 7, 15, 35
INVAR-10, Run: 042, F, 0, 22, 6, 14, 36
INVAR-10, Run: 043, F, 0, 16, 9, 17, 33
INVAR-10, Run: 044, F, 0, 12, 11, 19, 31
INVAR-10, Run: 045, F, 0, 16, 9, 17, 33
INVAR-10, Run: 046, F, 0, 10, 12, 20, 30
INVAR-10, Run: 047, F, 0, 10, 12, 20, 30
INVAR-10, Run: 048, F, 0, 18, 8, 16, 34
INVAR-10, Run: 049, F, 0, 16, 9, 17, 33
INVAR-10, Run: 050, F, 0, 14, 10, 18, 32
INVAR-10, Run: 051, F, 0, 14, 10, 18, 32
INVAR-10, Run: 052, F, 0, 10, 12, 20, 30
INVAR-10, Run: 053, F, 0, 16, 9, 17, 33
INVAR-10, Run: 054, F, 0, 14, 10, 18, 32
INVAR-10, Run: 055, F, 0, 12, 11, 19, 31
INVAR-10, Run: 056, F, 0, 16, 9, 17, 33
INVAR-10, Run: 057, F, 0, 16, 9, 17, 33
INVAR-10, Run: 058, F, 0, 14, 10, 18, 32
INVAR-10, Run: 059, F, 0, 16, 9, 17, 33
INVAR-10, Run: 060, F, 0, 12, 11, 19, 31
INVAR-10, Run: 061, F, 0, 20, 7, 15, 35
INVAR-10, Run: 062, F, 0, 20, 7, 15, 35
INVAR-10, Run: 063, F, 0, 16, 9, 17, 33
INVAR-10, Run: 064, F, 0, 16, 9, 17, 33
INVAR-10, Run: 065, F, 0, 12, 11, 19, 31
INVAR-10, Run: 066, F, 0, 14, 10, 18, 32
INVAR-10, Run: 067, F, 0, 16, 9, 17, 33
INVAR-10, Run: 068, F, 0, 10, 12, 20, 30
INVAR-10, Run: 069, F, 0, 16, 9, 17, 33
INVAR-10, Run: 070, F, 0, 16, 9, 17, 33
INVAR-10, Run: 071, F, 0, 16, 9, 17, 33
INVAR-10, Run: 072, F, 0, 18, 8, 16, 34
INVAR-10, Run: 073, F, 0, 18, 8, 16, 34
INVAR-10, Run: 074, F, 0, 14, 10, 18, 32
INVAR-10, Run: 075, F, 0, 12, 11, 19, 31
INVAR-10, Run: 076, F, 0, 10, 12, 20, 30
INVAR-10, Run: 077, F, 0, 10, 12, 20, 30
INVAR-10, Run: 078, F, 0, 14, 10, 18, 32
INVAR-10, Run: 079, F, 0, 16, 9, 17, 33
INVAR-10, Run: 080, F, 0, 14, 10, 18, 32
INVAR-10, Run: 081, F, 0, 14, 10, 18, 32
INVAR-10, Run: 082, F, 0, 14, 10, 18, 32
INVAR-10, Run: 083, F, 0, 12, 11, 19, 31
INVAR-10, Run: 084, F, 0, 16, 9, 17, 33
INVAR-10, Run: 085, F, 0, 12, 11, 19, 31
INVAR-10, Run: 086, F, 0, 18, 8, 16, 34
INVAR-10, Run: 087, F, 0, 20, 7, 15, 35
INVAR-10, Run: 088, F, 0, 20, 7, 15, 35
INVAR-10, Run: 089, F, 0, 18, 8, 16, 34
INVAR-10, Run: 090, F, 0, 16, 9, 17, 33
INVAR-10, Run: 091, F, 0, 12, 11, 19, 31
INVAR-10, Run: 092, F, 0, 18, 8, 16, 34
INVAR-10, Run: 093, F, 0, 16, 9, 17, 33
INVAR-10, Run: 094, F, 0, 14, 10, 18, 32
INVAR-10, Run: 095, F, 0, 14, 10, 18, 32
INVAR-10, Run: 096, F, 0, 18, 8, 16, 34
INVAR-10, Run: 097, F, 0, 12, 11, 19, 31
INVAR-10, Run: 098, F, 0, 14, 10, 18, 32
INVAR-10, Run: 099, F, 0, 8, 13, 21, 29
INVAR-10, Run: 100, F, 0, 12, 11, 19, 31
INVAR-11, Run: 001, F, 0, 6, 5, 47, 53
INVAR-11, Run: 002, F, 0, 4, 6, 48, 52
INVAR-11, Run: 003, F, 0, 8, 4, 46, 54
INVAR-11, Run: 004, F, 0, 10, 3, 45, 55
INVAR-11, Run: 005, F, 0, 8, 4, 46, 54
INVAR-11, Run: 006, F, 0, 12, 2, 44, 56
INVAR-11, Run: 007, F, 0, 8, 4, 46, 54
INVAR-11, Run: 008, F, 0, 14, 1, 43, 57
INVAR-11, Run: 009, F, 0, 12, 2, 44, 56
INVAR-11, Run: 010, F, 0, 12, 2, 44, 56
INVAR-11, Run: 011, F, 0, 12, 2, 44, 56
INVAR-11, Run: 012, F, 0, 8, 4, 46, 54
INVAR-11, Run: 013, F, 0, 10, 3, 45, 55
INVAR-11, Run: 014, F, 0, 12, 2, 44, 56
INVAR-11, Run: 015, F, 0, 12, 2, 44, 56
INVAR-11, Run: 016, F, 0, 10, 3, 45, 55
INVAR-11, Run: 017, F, 0, 12, 2, 44, 56
INVAR-11, Run: 018, F, 0, 10, 3, 45, 55
INVAR-11, Run: 019, F, 0, 8, 4, 46, 54
INVAR-11, Run: 020, F, 0, 10, 3, 45, 55
INVAR-11, Run: 021, F, 0, 12, 2, 44, 56
INVAR-11, Run: 022, F, 0, 8, 4, 46, 54
INVAR-11, Run: 023, F, 0, 12, 2, 44, 56
INVAR-11, Run: 024, F, 0, 12, 2, 44, 56
INVAR-11, Run: 025, F, 0, 6, 5, 47, 53
INVAR-11, Run: 026, F, 0, 10, 3, 45, 55
INVAR-11, Run: 027, F, 0, 10, 3, 45, 55
INVAR-11, Run: 028, F, 0, 10, 3, 45, 55
INVAR-11, Run: 029, F, 0, 8, 4, 46, 54
INVAR-11, Run: 030, F, 0, 10, 3, 45, 55
INVAR-11, Run: 031, F, 0, 12, 2, 44, 56
INVAR-11, Run: 032, F, 0, 8, 4, 46, 54
INVAR-11, Run: 033, F, 0, 14, 1, 43, 57
INVAR-11, Run: 034, F, 0, 12, 2, 44, 56
INVAR-11, Run: 035, F, 0, 8, 4, 46, 54
INVAR-11, Run: 036, F, 0, 12, 2, 44, 56
INVAR-11, Run: 037, F, 0, 8, 4, 46, 54
INVAR-11, Run: 038, F, 0, 8, 4, 46, 54
INVAR-11, Run: 039, F, 0, 12, 2, 44, 56
INVAR-11, Run: 040, F, 0, 8, 4, 46, 54
INVAR-11, Run: 041, F, 0, 10, 3, 45, 55
INVAR-11, Run: 042, F, 0, 8, 4, 46, 54
INVAR-11, Run: 043, F, 0, 8, 4, 46, 54
INVAR-11, Run: 044, F, 0, 10, 3, 45, 55
INVAR-11, Run: 045, F, 0, 8, 4, 46, 54
INVAR-11, Run: 046, F, 0, 14, 1, 43, 57
INVAR-11, Run: 047, F, 0, 10, 3, 45, 55
INVAR-11, Run: 048, F, 0, 8, 4, 46, 54
INVAR-11, Run: 049, F, 0, 10, 3, 45, 55
INVAR-11, Run: 050, F, 0, 8, 4, 46, 54
INVAR-11, Run: 051, F, 0, 10, 3, 45, 55
INVAR-11, Run: 052, F, 0, 10, 3, 45, 55
INVAR-11, Run: 053, F, 0, 8, 4, 46, 54
INVAR-11, Run: 054, F, 0, 8, 4, 46, 54
INVAR-11, Run: 055, F, 0, 12, 2, 44, 56
INVAR-11, Run: 056, F, 0, 10, 3, 45, 55
INVAR-11, Run: 057, F, 0, 8, 4, 46, 54
INVAR-11, Run: 058, F, 0, 12, 2, 44, 56
INVAR-11, Run: 059, F, 0, 10, 3, 45, 55
INVAR-11, Run: 060, F, 0, 14, 1, 43, 57
INVAR-11, Run: 061, F, 0, 6, 5, 47, 53
INVAR-11, Run: 062, F, 0, 8, 4, 46, 54
INVAR-11, Run: 063, F, 0, 10, 3, 45, 55
